Industry,type,ISIN,Air Quality,Climate Exposure,Ecological Impact,Energy Management,Environmental Supply Chain Management,GHG Emissions Management,Sustainable Finance,Sustainable Product,Waste Management,Water Management,ENVIRONMENTAL SCORE,Mean Environmental,Air Quality Classification,Climate Exposure Classification,Ecological Impact Classification,Energy Management Classification,Environmental Supply Chain Management Classification,GHG Emissions Management Classification,Sustainable Finance Classification,Sustainable Product Classification,Waste Management Classification,Water Management Classification
Semiconductors,Environmental,CNE100004ZD8,,,,4.816012859,,0.0,,0.0,5.008693218,3.574166059,3.06800992938,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Below Median,NaN,Leading,Above Median,Leading
Semiconductors,Environmental,US00108J1097,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,2.945399878491722,NaN,NaN,NaN,Below Median,NaN,Below Median,NaN,Leading,Below Median,Below Median
Semiconductors,Environmental,US0079031078,,,,8.156051636,,5.900952339,,3.0,9.70291996,8.547930717,7.32563970557,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Above Median,NaN,Above Median,Above Median,Above Median
Semiconductors,Environmental,TW0003438008,,,,0.0,,0.342395991,,0.0,0.0,5.582389832,1.71922842843,2.945399878491722,NaN,NaN,NaN,Below Median,NaN,Below Median,NaN,Leading,Below Median,Above Median
Semiconductors,Environmental,CNE100003MM9,,,,4.567261219,,0.342395991,,3.0,7.649167538,4.81919384,4.18185642571,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Below Median,NaN,Above Median,Above Median,Above Median
Semiconductors,Environmental,TW0003437000,,,,2.815587282,,1.565975428,,0.0,7.214700222,4.297210693,3.13103322256,2.945399878491722,NaN,NaN,NaN,Leading,NaN,Leading,NaN,Leading,Above Median,Leading
Semiconductors,Environmental,TW0008261009,,,,4.78156662,,2.704186678,,1.5,7.985438824,6.425839901,4.83216449508,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Above Median,NaN,Above Median,Above Median,Above Median
Semiconductors,Environmental,JP3122400009,,,,8.539701462,,9.614906311,,1.5,9.719753265,9.326107979,7.91885351188,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Above Median,NaN,Above Median,Above Median,Above Median
Semiconductors,Environmental,DE000A0WMPJ6,,,,6.795497417,,8.604745865,,1.5,8.232608795,0.0,4.302853154999999,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Above Median,NaN,Above Median,Above Median,Below Median
Semiconductors,Environmental,KYG022421088,,,,6.961170673,,2.974379539,,0.0,7.985438824,9.975589752,6.34609573821,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Above Median,NaN,Leading,Above Median,Above Median
Semiconductors,Environmental,TW0003041000,,,,0.0,,0.342395991,,0.0,0.0,3.0,0.9445114788299999,2.945399878491722,NaN,NaN,NaN,Below Median,NaN,Below Median,NaN,Leading,Below Median,Below Median
Semiconductors,Environmental,CNE100001ZN3,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,2.945399878491722,NaN,NaN,NaN,Below Median,NaN,Below Median,NaN,Leading,Below Median,Below Median
Semiconductors,Environmental,US01749D1054,,,,3.120775223,,2.663612366,,1.5,0.0,5.454451561,3.15883764278,2.945399878491722,NaN,NaN,NaN,Leading,NaN,Above Median,NaN,Above Median,Below Median,Above Median
Semiconductors,Environmental,BMG6331P1041,,,,0.0,,0.342395991,,0.0,0.0,0.0,0.04451147883,2.945399878491722,NaN,NaN,NaN,Below Median,NaN,Below Median,NaN,Leading,Below Median,Below Median
Semiconductors,Environmental,GB00BNDRMJ14,,,,6.081971645,,1.849324107,,0.0,0.0,0.0,2.06500362741,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Leading,NaN,Leading,Below Median,Below Median
Semiconductors,Environmental,KYG037AX1015,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,2.945399878491722,NaN,NaN,NaN,Below Median,NaN,Below Median,NaN,Leading,Below Median,Below Median
Semiconductors,Environmental,US0316521006,,,,4.341190815,,3.350774765,,1.5,3.817467451,5.121629238,3.9343681549599996,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Above Median,NaN,Above Median,Above Median,Above Median
Semiconductors,Environmental,CNE100003LZ3,,,,6.524680138,,0.342395991,,0.0,0.0,5.056744576,3.5189388930299996,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Below Median,NaN,Leading,Below Median,Above Median
Semiconductors,Environmental,TW0002493004,,,,0.0,,0.0,,0.0,0.0,3.0,0.8999999999999999,2.945399878491722,NaN,NaN,NaN,Below Median,NaN,Below Median,NaN,Leading,Below Median,Below Median
Semiconductors,Environmental,AT0000A18XM4,,,,5.78798151,,8.809595108,,1.5,4.980488777,5.763935089,5.398676109210001,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Above Median,NaN,Above Median,Above Median,Above Median
Semiconductors,Environmental,US0323325045,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,2.945399878491722,NaN,NaN,NaN,Below Median,NaN,Below Median,NaN,Leading,Below Median,Below Median
Semiconductors,Environmental,US0326541051,,,,6.864944458,,5.885277748,,1.5,6.379472256,7.071744442,5.887834725399999,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Above Median,NaN,Above Median,Above Median,Above Median
Semiconductors,Environmental,TW0006291008,,,,0.0,,0.342395991,,0.0,0.0,3.0,0.9445114788299999,2.945399878491722,NaN,NaN,NaN,Below Median,NaN,Below Median,NaN,Leading,Below Median,Below Median
Semiconductors,Environmental,TW0006533003,,,,0.0,,0.342395991,,0.0,0.0,3.0,0.9445114788299999,2.945399878491722,NaN,NaN,NaN,Below Median,NaN,Below Median,NaN,Leading,Below Median,Below Median
Semiconductors,Environmental,TW0006138001,,,,5.7722826,,0.342395991,,0.0,0.0,6.389081001,3.69292055913,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Below Median,NaN,Leading,Below Median,Above Median
Semiconductors,Environmental,JP3105280006,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,2.945399878491722,NaN,NaN,NaN,Below Median,NaN,Below Median,NaN,Leading,Below Median,Below Median
Semiconductors,Environmental,TW0006531007,,,,5.238260746,,2.843432665,,0.0,0.0,3.0,2.84112447025,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Above Median,NaN,Leading,Below Median,Below Median
Semiconductors,Environmental,TW0008271008,,,,8.091365814,,2.620194674,,1.5,9.386087418,8.104336739,6.4718056895,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Above Median,NaN,Above Median,Above Median,Above Median
Semiconductors,Environmental,TW0006449002,,,,0.0,,0.342395991,,0.0,0.0,3.377773523,1.05784353573,2.945399878491722,NaN,NaN,NaN,Below Median,NaN,Below Median,NaN,Leading,Below Median,Below Median
Semiconductors,Environmental,US0382221051,,,,7.432627201,,6.735132217,,1.5,9.528791428,8.722904205,7.01039366709,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Above Median,NaN,Above Median,Above Median,Above Median
Semiconductors,Environmental,TW0003264008,,,,3.338555098,,6.644057751,,0.0,9.876031876,5.22671175,4.51967106839,2.945399878491722,NaN,NaN,NaN,Leading,NaN,Above Median,NaN,Leading,Above Median,Above Median
Semiconductors,Environmental,NO0010946593,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,2.945399878491722,NaN,NaN,NaN,Below Median,NaN,Below Median,NaN,Leading,Below Median,Below Median
Semiconductors,Environmental,US04302A1043,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,2.945399878491722,NaN,NaN,NaN,Below Median,NaN,Below Median,NaN,Leading,Below Median,Below Median
Semiconductors,Environmental,TW0003711008,,,,5.111162186,,9.02618885,,3.0,5.97911787,6.676002979,5.8472570657,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Above Median,NaN,Above Median,Above Median,Above Median
Semiconductors,Environmental,TW0003169009,,,,4.524296761,,0.342395991,,0.0,0.0,4.401846886,2.72235457293,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Below Median,NaN,Leading,Below Median,Leading
