ISIN,Name,Mkt,Industry,Year,ES643,IS010,ES644,ES645,ES646,Variation_2022
US0079031078,ADV MICRO DEVICE,"241,546,435,400.00",Semiconductors,2023,50.0,22680.0,2020.0,0.061754,2030.0,-24.24458334682774
JP3122400009,ADVANTEST CORP,"25,184,853,120.00",Semiconductors,2023,60.0,486507.0,2018.0,0.038131,2030.0,-28.742174160500856
DE000A0WMPJ6,AIXTRON SE,"2,320,657,495.20",Semiconductors,2023,90.0,629.879,2019.0,0.007411,2025.0,26.124567474048447
AT0000A18XM4,AMS-OSRAM AG,"1,335,355,852.09",Semiconductors,2023,100.0,3590.0,2021.0,0.3083,2030.0,-3.9896204995134648
US0326541051,ANALOG DEVICES,"108,535,098,000.00",Semiconductors,2023,50.0,12305.539,2019.0,0.34992,2030.0,102.54873965821452
TW0008271008,APACER TECH,"252,141,995.60",Semiconductors,2023,3.0,7631.446,2021.0,0.00256878,2025.0,-24.41588785046729
US0382221051,APPLIED MATERIAL,"183,821,801,000.00",Semiconductors,2023,50.0,26517.0,2019.0,0.143642,2030.0,-2.8933041867977374
TW0003264008,ARDENTEC,"1,069,135,670.00",Semiconductors,2023,100.0,14052.235,2020.0,0.063269,2050.0,21.75901894627562
TW0003711008,ASE TECHNOLOGY H,"20,811,298,960.00",Semiconductors,2023,35.0,581914.471,2016.0,1.763221,2030.0,
NL0000334118,ASM INTL NV,"33,403,812,738.40",Semiconductors,2023,90.0,2634.331,2021.0,0.008347,2035.0,22.379297951359774
NL0010273215,ASML HOLDING NV,"380,804,102,834.00",Semiconductors,2023,25.20000076,27558.5,2019.0,0.0394,2025.0,-75.9317751105496
KYG0535Q1331,ASMPT LTD,"4,959,380,132.00",Semiconductors,2023,100.0,14697.489,2020.0,0.146553688,2035.0,-55.98930079902833
TW0005274005,ASPEED TECH,"5,107,981,532.00",Semiconductors,2023,42.0,3130.395,2021.0,0.00031021,2030.0,-3.5947712418300504
US11135F1012,BROADCOM INC,"730,436,630,000.00",Semiconductors,2023,38.0,35819.0,2021.0,0.303495,2030.0,-17.271275608915747
US1727551004,CIRRUS LOGIC INC,"6,196,426,038.00",Semiconductors,2023,90.0,1788.89,2021.0,0.007786,2030.0,-66.11867454405342
JP3548600000,DISCO CORP,"41,276,328,620.00",Semiconductors,2023,100.0,307554.0,2020.0,1.128182,2050.0,8.62940799788019
KR7039030002,EO TECHNICS CO,"1,565,735,380.00",Semiconductors,2023,5.0,316384.019,2021.0,0.005663666,2023.0,-24.435028248587578
TW0005351001,ETRON TECH,"439,780,703.00",Semiconductors,2023,1.0,2661.968,2021.0,0.03971932,2022.0,4.7997457088366255
TW0003532008,FORMOSA SUMCO,"1,944,014,730.00",Semiconductors,2023,97.0,14876.233,2020.0,0.241592,2050.0,-4.744776317096591
TW0003443008,GLOBAL UNICHIP,"6,000,851,642.00",Semiconductors,2023,25.0,26240.714,2022.0,0.01048149,2030.0,0.0
TW0006488000,GLOBAL WAFERS,"7,500,136,962.00",Semiconductors,2023,10.0,70651.593,2020.0,0.590761188,2030.0,-7.7039615005052715
KYG393871085,GLOBALFOUNDRIES,"25,237,097,260.00",Semiconductors,2023,25.0,7392.0,2020.0,2.325696,2030.0,5.837167304467477
JP3771800004,HAMAMATSU PHOTON,"4,489,052,028.00",Semiconductors,2023,30.0,221445.0,2019.0,0.062742,2031.0,-2.9009489716659287
US4581401001,INTEL CORP,"121,183,974,400.00",Semiconductors,2023,100.0,54228.0,2019.0,1.6069,2040.0,-3.84375
