Industry,type,ISIN,Board Composition,Executive Compensation,Shareholder Rights,Audit,GOVERNANCE SCORE,Mean Governance,Board Composition Classification,Executive Compensation Classification,Shareholder Rights Classification,Audit Classification
Semiconductors,Governance,CNE100004ZD8,4.781484127,1.606769562,7.086885929,7.334174156,4.98127946852,5.520734919676617,Leading,Below Median,Leading,Leading
Semiconductors,Governance,US00108J1097,6.737668514,5.417960644,2.72034812,8.193264961,5.689677162160001,5.520734919676617,Above Median,Above Median,Below Median,Above Median
Semiconductors,Governance,US0079031078,7.321753502,7.927024364,7.079516888,8.231826782,7.5544934463199995,5.520734919676617,Above Median,Above Median,Leading,Above Median
Semiconductors,Governance,TW0003438008,5.590106964,3.947556019,7.377765179,7.552586079,5.9389293672,5.520734919676617,Above Median,Leading,Leading,Above Median
Semiconductors,Governance,CNE100003MM9,2.506993771,3.522681475,7.086885929,6.040477276,4.4152902986800004,5.520734919676617,Below Median,Leading,Leading,Below Median
Semiconductors,Governance,TW0003437000,4.673395634,5.148470402,7.377765179,5.701807976,5.60100824384,5.520734919676617,Leading,Above Median,Leading,Below Median
Semiconductors,Governance,TW0008261009,2.273677588,3.975230694,7.377765179,4.711979866,4.29715971976,5.520734919676617,Below Median,Leading,Leading,Below Median
Semiconductors,Governance,JP3122400009,5.100127697,8.22027874,8.390599251,6.203794956,6.81526388172,5.520734919676617,Leading,Above Median,Above Median,Below Median
Semiconductors,Governance,DE000A0WMPJ6,8.806922913,7.951746464,4.457961559,9.445491791,7.660100860759999,5.520734919676617,Above Median,Above Median,Below Median,Above Median
Semiconductors,Governance,KYG022421088,3.349087477,2.793851852,4.390323639,6.071382999,3.9012948893999995,5.520734919676617,Below Median,Below Median,Below Median,Below Median
Semiconductors,Governance,TW0003041000,5.046969891,4.57499218,7.377765179,8.27841568,6.01011743572,5.520734919676617,Leading,Above Median,Leading,Above Median
Semiconductors,Governance,CNE100001ZN3,5.238461018,1.90740478,7.086885929,6.238321781,5.0426072216,5.520734919676617,Leading,Below Median,Leading,Below Median
Semiconductors,Governance,US01749D1054,5.438482285,6.068507671,1.896954298,9.792127609,5.4363049126,5.520734919676617,Leading,Above Median,Below Median,Above Median
Semiconductors,Governance,BMG6331P1041,6.106594086,8.328053474,8.004261971,9.980111122,7.71494735728,5.520734919676617,Above Median,Above Median,Above Median,Above Median
Semiconductors,Governance,GB00BNDRMJ14,6.838038445,4.89778614,7.748560429,7.472986698,6.69249488844,5.520734919676617,Above Median,Above Median,Above Median,Leading
Semiconductors,Governance,KYG037AX1015,6.232953072,5.841841698,3.939138651,9.462891579,6.10536104232,5.520734919676617,Above Median,Above Median,Below Median,Above Median
Semiconductors,Governance,US0316521006,5.36813736,7.716303349,5.098236561,7.630759239,6.22894050624,5.520734919676617,Leading,Above Median,Below Median,Above Median
Semiconductors,Governance,CNE100003LZ3,4.605224609,1.844119906,7.086885929,7.382537842,4.98252831436,5.520734919676617,Leading,Below Median,Leading,Leading
Semiconductors,Governance,TW0002493004,3.788053513,4.11853075,7.377765179,4.274916172,4.80679687516,5.520734919676617,Below Median,Leading,Leading,Below Median
Semiconductors,Governance,AT0000A18XM4,6.545043945,8.420575142,6.664523602,9.39675808,7.480120811559999,5.520734919676617,Above Median,Above Median,Leading,Above Median
Semiconductors,Governance,US0323325045,5.665424347,8.380083084,6.248436928,9.729994774,7.10719673164,5.520734919676617,Above Median,Above Median,Below Median,Above Median
Semiconductors,Governance,US0326541051,7.126816273,8.48470974,7.02905798,7.103319168,7.42548917796,5.520734919676617,Above Median,Above Median,Leading,Leading
Semiconductors,Governance,TW0006291008,2.860860348,4.107590675,7.377765179,6.535326004,4.83204729088,5.520734919676617,Below Median,Leading,Leading,Leading
Semiconductors,Governance,TW0006533003,3.587029696,4.623229504,7.377765179,6.164391518,5.15787205736,5.520734919676617,Below Median,Above Median,Leading,Below Median
Semiconductors,Governance,TW0006138001,3.967530012,3.970756054,7.377765179,4.932163715,4.94110209464,5.520734919676617,Below Median,Leading,Leading,Below Median
Semiconductors,Governance,JP3105280006,3.263403893,0.0,8.697329521,9.998077393,4.8618768694,5.520734919676617,Below Median,Below Median,Above Median,Above Median
Semiconductors,Governance,TW0006531007,4.571528912,4.192453861,7.377765179,6.041668415,5.38926992432,5.520734919676617,Leading,Leading,Leading,Below Median
Semiconductors,Governance,TW0008271008,3.014785767,4.721523762,7.377765179,4.711979866,4.743069000519999,5.520734919676617,Below Median,Above Median,Leading,Below Median
Semiconductors,Governance,TW0006449002,2.898930073,5.363122463,7.377765179,5.806267738,5.030430698439999,5.520734919676617,Below Median,Above Median,Leading,Below Median
Semiconductors,Governance,US0382221051,8.792739868,8.64541626,8.098373413,9.149185181,8.647765502959999,5.520734919676617,Above Median,Above Median,Above Median,Above Median
Semiconductors,Governance,TW0003264008,1.882783294,3.827242851,7.377765179,7.739839077,4.605378165359999,5.520734919676617,Below Median,Leading,Leading,Above Median
Semiconductors,Governance,NO0010946593,4.24560833,0.0,6.819554329,1.54709208,3.41264677056,5.520734919676617,Below Median,Below Median,Leading,Below Median
Semiconductors,Governance,US04302A1043,7.028330803,5.147849083,3.076985836,8.049406052,5.792064437960001,5.520734919676617,Above Median,Above Median,Below Median,Above Median
Semiconductors,Governance,TW0003711008,3.652708292,3.150937319,7.377765179,4.005019188,4.482666654719999,5.520734919676617,Below Median,Below Median,Leading,Below Median
Semiconductors,Governance,TW0003169009,4.458669662,4.06196928,7.377765179,6.042959213,5.317530822559999,5.520734919676617,Below Median,Leading,Leading,Below Median
Semiconductors,Governance,NL0000334118,6.122514725,7.876181602,5.105100155,9.551971436,6.847928352439999,5.520734919676617,Above Median,Above Median,Below Median,Above Median
Semiconductors,Governance,TW0005269005,2.27720809,4.434425354,7.377765179,5.568656921,4.54570574768,5.520734919676617,Below Median,Leading,Leading,Below Median
Semiconductors,Governance,NL0010273215,8.726164818,9.017343521,4.977509975,9.605581284,8.03707717896,5.520734919676617,Above Median,Above Median,Below Median,Above Median
Semiconductors,Governance,KYG0535Q1331,7.194505215,3.193645477,6.0760746,6.867251396,5.91351491924,5.520734919676617,Above Median,Below Median,Below Median,Leading
