Isin,Year,EG017,EG018,EG030,IS010,Industry,Sum_EG_25,Sum_EG_50,Sum_EG_75
US0079031078,2010,26.628,140.384,286.84,6494.0,Semiconductors,0.8361693120547229,7.411291732214647,33.869677003345686
US0326541051,2010,34.933,96.687,14.211,2761.503,Semiconductors,0.8361693120547229,7.411291732214647,33.869677003345686
US0382221051,2010,42.172,133.96,36.863,9549.0,Semiconductors,0.8361693120547229,7.411291732214647,33.869677003345686
US11135F1012,2010,110.81,156.699,10.771,2093.0,Semiconductors,0.8361693120547229,7.411291732214647,33.869677003345686
US29355A1079,2010,0.005,9.199,14.247,61.661,Semiconductors,0.8361693120547229,7.411291732214647,33.869677003345686
US3364331070,2010,1.845,272.042,12.08,2563.515,Semiconductors,0.8361693120547229,7.411291732214647,33.869677003345686
US4581401001,2010,930.0,2190.0,96.595,43623.0,Semiconductors,0.8361693120547229,7.411291732214647,33.869677003345686
US4824801009,2010,3.54,50.592,155.835,1820.76,Semiconductors,0.8361693120547229,7.411291732214647,33.869677003345686
US5128071082,2010,16.036,43.331,182.626,2133.776,Semiconductors,0.8361693120547229,7.411291732214647,33.869677003345686
US5950171042,2010,78.569,145.031,4.877,947.729,Semiconductors,0.8361693120547229,7.411291732214647,33.869677003345686
US5951121038,2010,1303.552,1409.942,43.65,8482.0,Semiconductors,0.8361693120547229,7.411291732214647,33.869677003345686
US6098391054,2010,0.054,4.836,1.126,218.84,Semiconductors,0.8361693120547229,7.411291732214647,33.869677003345686
US67066G1040,2010,2.771,44.036,17.119,3326.445,Semiconductors,0.8361693120547229,7.411291732214647,33.869677003345686
NL0009538784,2010,614.565,489.61,41.191,4402.0,Semiconductors,0.8361693120547229,7.411291732214647,33.869677003345686
US6821891057,2010,1320.901,597.067,11.905,2313.4,Semiconductors,0.8361693120547229,7.411291732214647,33.869677003345686
US74736K1016,2010,,,,,Semiconductors,0.8361693120547229,7.411291732214647,33.869677003345686
US7475251036,2010,57.721,39.824,56.516,10982.0,Semiconductors,0.8361693120547229,7.411291732214647,33.869677003345686
US83088M1027,2010,34.032,175.216,5.516,1071.849,Semiconductors,0.8361693120547229,7.411291732214647,33.869677003345686
