Isin,Year,yhat
US0079031078,2023,-27.366676706050185
US0079031078,2024,-33.04064300631279
US0079031078,2025,-52.26194118113756
US0079031078,2026,-71.99590667747498
US0079031078,2027,-92.23751843366134
US0079031078,2028,-97.91148473395944
US0079031078,2029,-117.13278290881163
US0079031078,2030,-136.86674840511893
US0079031078,2031,-157.1083601613713
US0079031078,2032,-162.78232646163585
US0079031078,2033,-182.00362463643052
US0079031078,2034,-201.7375901328257
US0079031078,2035,-221.979201889001
US0079031078,2036,-227.6531681892439
US0079031078,2037,-246.87446636404084
US0079031078,2038,-266.60843186043064
US0079031078,2039,-286.85004361658514
US0079031078,2040,-292.52400991688626
US0079031078,2041,-311.7453080917337
US0079031078,2042,-331.4792735880526
US0079031078,2043,-351.72088534430475
US0079031078,2044,-357.3948516445773
US0079031078,2045,-376.61614981936657
US0079031078,2046,-396.3501153156946
US0079031078,2047,-416.5917270719343
US0079031078,2048,-422.26569337219667
US0326541051,2023,240.0960404964863
US0326541051,2024,279.6762176623369
US0326541051,2025,284.1099023501911
US0326541051,2026,288.3129174700546
US0326541051,2027,292.2963778719887
US0326541051,2028,331.8765550377759
US0326541051,2029,336.31023972555766
US0326541051,2030,340.51325484551637
US0326541051,2031,344.49671524731025
US0326541051,2032,384.07689241313057
US0326541051,2033,388.5105771010662
US0326541051,2034,392.7135922207999
US0326541051,2035,396.69705262278876
US0326541051,2036,436.2772297886728
US0326541051,2037,440.71091447659745
US0326541051,2038,444.91392959633356
US0326541051,2039,448.8973899983419
US0326541051,2040,488.4775671641278
US0326541051,2041,492.91125185192647
US0326541051,2042,497.11426697184424
US0326541051,2043,501.09772737363807
US0326541051,2044,540.6779045394368
US0326541051,2045,545.1115892274037
US0326541051,2046,549.3146043472894
US0326541051,2047,553.2980647491166
US0326541051,2048,592.8782419149568
US0382221051,2023,115.95529660601557
US0382221051,2024,114.68821375049944
US0382221051,2025,108.72398304274151
US0382221051,2026,102.31495701507339
US0382221051,2027,95.46339444207759
US0382221051,2028,94.19631158654153
US0382221051,2029,88.2320808787744
US0382221051,2030,81.8230548511119
US0382221051,2031,74.97149227808592
US0382221051,2032,73.70440942257481
US0382221051,2033,67.74017871482715
US0382221051,2034,61.331152687133994
US0382221051,2035,54.47959011413505
US0382221051,2036,53.21250725863038
US0382221051,2037,47.24827655088248
US0382221051,2038,40.83925052319421
US0382221051,2039,33.98768795021127
US0382221051,2040,32.72060509467269
US0382221051,2041,26.756374386905662
US0382221051,2042,20.347348359242517
US0382221051,2043,13.4957857862166
US0382221051,2044,12.22870293070281
US0382221051,2045,6.264472222952037
US0382221051,2046,-0.14455380471216017
US0382221051,2047,-6.996116377734268
US0382221051,2048,-8.263199233248002
US11135F1012,2023,390.03258608328076
US11135F1012,2024,351.792265464245
US11135F1012,2025,367.05355342028486
US11135F1012,2026,384.25521706652114
US11135F1012,2027,403.37538733719555
US11135F1012,2028,365.13506671832374
US11135F1012,2029,380.3963546744724
US11135F1012,2030,397.5980183206118
US11135F1012,2031,416.7181885915468
US11135F1012,2032,378.47786797253013
US11135F1012,2033,393.739155928432
US11135F1012,2034,410.9408195749021
US11135F1012,2035,430.0609898455591
US11135F1012,2036,391.82066922643435
US11135F1012,2037,407.08195718235936
US11135F1012,2038,424.28362082880744
US11135F1012,2039,443.4037910993575
US11135F1012,2040,405.1634704804991
US11135F1012,2041,420.4247584366377
US11135F1012,2042,437.62642208280585
US11135F1012,2043,456.7465923537385
US11135F1012,2044,418.50627173476306
US11135F1012,2045,433.76755969066176
US11135F1012,2046,450.9692233368569
US11135F1012,2047,470.089393607751
US11135F1012,2048,431.8490729887303
US29355A1079,2023,14.640745157285902
US29355A1079,2024,13.785471847781515
US29355A1079,2025,14.373931883825609
US29355A1079,2026,14.999362131342183
US29355A1079,2027,15.6611936111284
US29355A1079,2028,14.805920301628083
US29355A1079,2029,15.394380337675077
US29355A1079,2030,16.019810585188843
US29355A1079,2031,16.681642064981652
US29355A1079,2032,15.82636875547821
US29355A1079,2033,16.41482879151844
US29355A1079,2034,17.040259039041068
US29355A1079,2035,17.702090518826466
US29355A1079,2036,16.846817209319905
US29355A1079,2037,17.435277245360897
US29355A1079,2038,18.060707492883118
US29355A1079,2039,18.722538972666094
US29355A1079,2040,17.86726566316603
US29355A1079,2041,18.455725699212735
US29355A1079,2042,19.08115594672739
US29355A1079,2043,19.74298742652016
US29355A1079,2044,18.88771411701785
US29355A1079,2045,19.47617415305777
US29355A1079,2046,20.101604400573265
US29355A1079,2047,20.76343588036498
US29355A1079,2048,19.908162570861187
US3364331070,2023,495.65118008032056
US3364331070,2024,533.1903833468039
US3364331070,2025,544.6522098436808
US3364331070,2026,554.63928521242
US3364331070,2027,563.1624744927365
US3364331070,2028,600.7016777591331
US3364331070,2029,612.1635042559578
US3364331070,2030,622.1505796247433
US3364331070,2031,630.6737689049186
US3364331070,2032,668.2129721714082
US3364331070,2033,679.674798668344
US3364331070,2034,689.6618740369627
US3364331070,2035,698.1850633172826
US3364331070,2036,735.7242665838131
US3364331070,2037,747.1860930807453
US3364331070,2038,757.1731684493802
US3364331070,2039,765.6963577297611
US3364331070,2040,803.2355609961483
US3364331070,2041,814.6973874929786
US3364331070,2042,824.68446286175
US3364331070,2043,833.2076521419262
US3364331070,2044,870.7468554083986
