ISIN,BI350,BI493,EG056,EG057,ES018,ES019,ES096,F1754,F1769,RX262,ES643,IS010,EG017,EG018,EG030,SR001,SR002,SR003,SR004,SR205,SR217,SR238,SR200,SR211,SR711,SR731,SR727,SR718,SR715,SR005,SR035,SR064,SR084,BI588,BI589,BI590,SR208,SR235,SR231,SR249,ST024,SR752,SR754,SR756,SR760,SR724,SR721,Year
CNE100004ZD8,0,#N/A N/A,25.644,2.219,#N/A N/A,#N/A N/A,9.090909958,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,3888.342742,0.462,0.755,11.816,2.589999914,2.70190382,0.857391536,4.712091446,4.816012859,3.574166059,0,0,5.008693218,3,0,0,0,0,4.781484127,1.606769562,7.086885929,7.334174156,11.7647,-44.1176,-32.3529,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,2023
US00108J1097,0,#N/A N/A,120.409,47.224,#N/A N/A,#N/A N/A,#N/A N/A,10,#N/A N/A,#N/A N/A,#N/A N/A,557.723,14.77,31.289,16.043,1.470000029,0,0.857391536,5.476805687,0,0,0,0,0,3,0,0,0,0,6.737668514,5.417960644,2.72034812,8.193264961,11.7647,-44.1176,-32.3529,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,2023
US0079031078,0,#N/A N/A,385.733,37.01,#N/A N/A,#N/A N/A,33.33330154,30,#N/A N/A,#N/A N/A,50,22680,12.429,77.142,8001.098,6.619999886,7.152202129,5.113927841,7.544727802,8.156051636,8.547930717,3,5.900952339,9.70291996,8.57006073,0,7.949489594,6.1489501,10,7.321753502,7.927024364,7.079516888,8.231826782,5.8824,-44.1176,-38.2353,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,2023
TW0003438008,0,#N/A N/A,33.397,7.594,#N/A N/A,#N/A N/A,42.85710144,70,#N/A N/A,#N/A N/A,#N/A N/A,879.686,0.027,1.386,0.05,2.660000086,1.218864202,2.13533473,5.850284576,0,5.582389832,0,0.342395991,0,3,3,1.097493768,0,10,5.590106964,3.947556019,7.377765179,7.552586079,5.8824,-44.1176,-38.2353,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,2023
CNE100003MM9,0,100,64.797,4.375,#N/A N/A,0.023,0,60,#N/A N/A,7.960563763,#N/A N/A,6263.513581,1.89,40.346,23.595,3.900000095,3.955185175,3.475419998,4.272690773,4.567261219,4.81919384,3,0.342395991,7.649167538,3,0,10,5.361740589,10,2.506993771,3.522681475,7.086885929,6.040477276,11.7647,-44.1176,-32.3529,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,2023
TW0003437000,0,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,0.00139,14.28569984,70,#N/A N/A,#N/A N/A,#N/A N/A,1972.624,0.257,7.131,#N/A N/A,2.950000048,2.838268518,1.103526831,5.581045151,2.815587282,4.297210693,0,1.565975428,7.214700222,3,0,1.097493768,0,0,4.673395634,5.148470402,7.377765179,5.701807976,8.8235,-44.1176,-35.2941,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,2023
TW0008261009,0,#N/A N/A,7.19,1.789,#N/A N/A,0,0,80,#N/A N/A,#N/A N/A,#N/A N/A,2851.162,0.03,0.524,0.055,3.880000114,4.62209177,2.717594624,4.165404797,4.78156662,6.425839901,1.5,2.704186678,7.985438824,10,0,1.097493768,0,0,2.273677588,3.975230694,7.377765179,4.711979866,5.8824,-44.1176,-38.2353,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,2023
JP3122400009,0,45.5173,768.844,192.308,#N/A N/A,0.017999999,11.1111002,80,#N/A N/A,0.198691161,60,486507,3.45,17.02,3038.31,6.360000134,7.558349609,4.537464142,6.794071674,8.539701462,9.326107979,1.5,9.614906311,9.719753265,3,3,10,4.709416866,10,5.100127697,8.22027874,8.390599251,6.203794956,11.7647,-38.5673,-26.8026,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,2023
DE000A0WMPJ6,0,100,117.049,16.924,#N/A N/A,#N/A N/A,33.33330154,30,#N/A N/A,26.19582534,90,629.879,0.197,5.546,67.984,4.400000095,3.523865223,2.99420476,7.489200592,6.795497417,0,1.5,8.604745865,8.232608795,3,0,7.949489594,3.756085634,10,8.806922913,7.951746464,4.457961559,9.445491791,11.7647,-44.1176,-32.3529,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,2023
KYG022421088,0,#N/A N/A,0.764,0.096,#N/A N/A,0,0,50,#N/A N/A,#N/A N/A,#N/A N/A,30481.576,0.008,0.227,0.457,4.53000021,5.694934368,3.800378799,3.825967789,6.961170673,9.975589752,0,2.974379539,7.985438824,3,3,10,2.060142517,0,3.349087477,2.793851852,4.390323639,6.071382999,8.8235,-23.5294,-14.7059,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,2023
TW0003041000,0,100,50.115,11.88,#N/A N/A,#N/A N/A,33.33330154,50,#N/A N/A,1.399470393,#N/A N/A,1445.754,0.974,1.071,0.106,2.069999933,0.74273932,1.103526831,5.927341461,0,3,0,0.342395991,0,3,0,1.097493768,0,0,5.046969891,4.57499218,7.377765179,8.27841568,5.8824,-44.1176,-38.2353,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,2023
CNE100001ZN3,0,#N/A N/A,34.652,4.094,#N/A N/A,#N/A N/A,14.28569984,0,#N/A N/A,#N/A N/A,#N/A N/A,1672.993031,3.731,2.883,0.963,1.029999971,0,0,4.834615707,0,0,0,0,0,0,0,0,0,0,5.238461018,1.90740478,7.086885929,6.238321781,9.3423,-25.3452,-16.0029,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,2023
