ID,FIELD MNEMONIC,FIELD DESCRIPTION,FIELD DEFINITION,UNITS,FREQUENCY,PILLAR,THEME,HISTORY,Created,YEAR,Dashboard
BI309,EU_TAX_EST_SC_REV_PCT,EU Taxonomy Estimated SC Revenue Percent,"Estimated percentage of total revenue/turnover generated by the company that passes the relevant European Union (EU) Taxonomy technical screening criteria for substantial contribution.

The EU Taxonomy is a glossary that defines Paris agreement-aligned performance criteria over a set of economic activities.

The criteria is sector specific and outlined in the technical annex report on the EU Taxonomy, as appointed by the European commission.

This figure is calculated by Bloomberg.",Percentage,Annual,Environmental,N.A.,From 2019,45403,current,N.A.
BI310,EU_TAX_EST_SC_REV_AMT,EU Taxonomy Estimated SC Revenue Amount,"Estimated amount of revenue/turnover generated by the company, in local currency, that passes the relevant European Union (EU) Taxonomy technical screening criteria for substantial contribution.

The EU Taxonomy is a glossary that defines Paris agreement-aligned performance criteria over a set of economic activities.

The criteria is sector specific and outlined in the technical annex report on the EU Taxonomy, as appointed by the European commission.

This figure is calculated by Bloomberg.",Million Reporting Currency,Annual,Environmental,N.A.,From 2019,45403,current,N.A.
BI311,EU_TAX_EST_ELIGIBLE_REV_PCT,EU Taxonomy Estimated Eligible Revenue Percent,"Provides the percentage of total revenue generated by the company that is derived from a European Union (EU) Taxonomy-eligible activity for any of the six environmental objectives. This value does not indicate that those activities have met substantial contribution criteria. Percentage eligible is calculated by the sum of each security's total revenue percentage within an eligible BICS (Bloomberg Industry Classification Standard) code.

The European Union (EU) Taxonomy is a glossary that defines Paris agreement-aligned performance criteria over a set of economic activities.

This figure is calculated by Bloomberg.",Percentage,Annual,Environmental,N.A.,From 2019,45312,current,N.A.
BI312,EU_TAX_EST_ELIGIBLE_REV_AMT,EU Taxonomy Estimated Eligible Revenue Amount,"Provides the amount of revenue/turnover generated by the company, in local currency, that is derived from a European Union (EU) Taxonomy-eligible activity for any of the six environmental objectives. This value does not indicate that those activities have met substantial contribution criteria. Amount of eligible revenue/turnover is calculated by the sum of each security's total revenue within an eligible BICS (Bloomberg Industry Classification Standard) code.

The European Union (EU) Taxonomy is a glossary that defines Paris agreement-aligned performance criteria over a set of economic activities.

This figure is calculated by Bloomberg.",Million Reporting Currency,Annual,Environmental,N.A.,From 2019,45312,current,N.A.
BI313,EU_TAX_EST_SC_ADP_REV_PCT,EU Taxonomy Estimated SC Adaptation Rev Pct,"Estimated percentage of total revenue/turnover generated by the company that passes the relevant European Union (EU) Taxonomy technical screening criteria for substantial contribution to climate change adaptation.

The EU Taxonomy is a glossary that defines Paris agreement-aligned performance criteria over a set of economic activities.

The criteria is sector specific and outlined in the technical annex report on the EU Taxonomy, as appointed by the European commission.

This figure is calculated by Bloomberg.",Percentage,Annual,Environmental,Climate Change,From 2019,45617,current,N.A.
BI314,EU_TAX_EST_SC_ADP_REV_AMT,EU Taxonomy Estimated SC Adaptation Rev Amt,"Estimated amount of revenue/turnover generated by the company, in local currency, that passes the relevant European Union (EU) Taxonomy technical screening criteria for substantial contribution to climate change adaptation.

The EU Taxonomy is a glossary that defines Paris agreement-aligned performance criteria over a set of economic activities.

The criteria is sector specific and outlined in the technical annex report on the EU Taxonomy, as appointed by the European commission.

This figure is calculated by Bloomberg.",Million Reporting Currency,Annual,Environmental,Climate Change,From 2019,45617,current,N.A.
BI315,EU_TAX_EST_SC_MIT_REV_PCT,EU Taxonomy Estimated SC Mitigation Rev Pct,"Estimated percentage of total revenue/turnover generated by the company that passes the relevant European Union (EU) Taxonomy technical screening criteria for substantial contribution to climate change mitigation.

The EU Taxonomy is a glossary that defines Paris agreement-aligned performance criteria over a set of economic activities.

The criteria is sector specific and outlined in the technical annex report on the EU Taxonomy, as appointed by the European commission.

This figure is calculated by Bloomberg.",Percentage,Annual,Environmental,N.A.,From 2019,45525,current,N.A.
BI316,EU_TAX_EST_SC_MIT_REV_AMT,EU Taxonomy Estimated SC Mitigation Rev Amt,"Estimated amount of revenue/turnover generated by the company, in local currency, that passes the relevant European Union (EU) Taxonomy technical screening criteria for substantial contribution to climate change mitigation.

The EU Taxonomy is a glossary that defines Paris agreement-aligned performance criteria over a set of economic activities.

The criteria is sector specific and outlined in the technical annex report on the EU Taxonomy, as appointed by the European commission.

This figure is calculated by Bloomberg.",Local Currency,Annual,Environmental,N.A.,From 2019,45525,current,N.A.
BI317,EU_TAX_EST_SC_WATER_REV_PCT,EU Taxonomy Estimated SC Water Revenue Percent,"Estimated percentage of total revenue/turnover generated by the company that passes the relevant European Union (EU) Taxonomy technical screening criteria for substantial contribution to the sustainable use and protection of water and marine resources.

The EU Taxonomy is a glossary that defines Paris agreement-aligned performance criteria over a set of economic activities.

The criteria is sector specific and outlined in the technical annex report on the EU Taxonomy, as appointed by the European commission.

This figure is calculated by Bloomberg.",Percentage,Annual,Environmental,Natural Capital,From 2019,45617,current,N.A.
BI318,EU_TAX_EST_SC_WATER_REV_AMT,EU Taxonomy Estimated SC Water Revenue Amount,"Estimated amount of revenue/turnover generated by the company, in local currency, that passes the relevant European Union (EU) Taxonomy technical screening criteria for substantial contribution to the sustainable use and protection of water and marine resources.

The EU Taxonomy is a glossary that defines Paris agreement-aligned performance criteria over a set of economic activities.

The criteria is sector specific and outlined in the technical annex report on the EU Taxonomy, as appointed by the European commission.

This figure is calculated by Bloomberg.",Million Reporting Currency,Annual,Environmental,Natural Capital,From 2019,45617,current,N.A.
