Isin,Year,EG017,EG018,EG030,IS010
US0079031078,2010,26.628,140.384,286.84,6494
US0326541051,2010,34.933,96.687,14.211,2761.503
US0382221051,2010,42.172,133.96,36.863,9549
US11135F1012,2010,110.81,156.699,10.771,2093
US29355A1079,2010,0.005,9.199,14.247,61.661
US3364331070,2010,1.845,272.042,12.08,2563.515
US4581401001,2010,930,2190,96.595,43623
US4824801009,2010,3.54,50.592,155.835,1820.76
US5128071082,2010,16.036,43.331,182.626,2133.776
US5950171042,2010,78.569,145.031,4.877,947.729
US5951121038,2010,1303.552,1409.942,43.65,8482
US6098391054,2010,0.054,4.836,1.126,218.84
US67066G1040,2010,2.771,44.036,17.119,3326.445
NL0009538784,2010,614.565,489.61,41.191,4402
US6821891057,2010,1320.901,597.067,11.905,2313.4
US74736K1016,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
US7475251036,2010,57.721,39.824,56.516,10982
US83088M1027,2010,34.032,175.216,5.516,1071.849
US8807701029,2010,2.137,23.021,134.044,1566.162
US8825081040,2010,830,1130,71.872,13966
CNE100004ZD8,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
US00108J1097,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0003438008,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CNE100003MM9,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0003437000,2010,0.465,11.617,0.555,3394.051
TW0008261009,2010,0.025,0.568,0.59,3610.39
JP3122400009,2010,3.502,34.888,49.107,53225
DE000A0WMPJ6,2010,0.248,6.177,89.024,783.775
KYG022421088,2010,0.012,0.249,0.396,2424.978
TW0003041000,2010,2.011,1.7,0.68,4159.147
CNE100001ZN3,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
US01749D1054,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
BMG6331P1041,2010,4.461,2.828,1.553,301.84
GB00BNDRMJ14,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
KYG037AX1015,2010,1.328,1.458,0.368,71.525
US0316521006,2010,60.897,789.738,251.584,2939.483
CNE100003LZ3,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0002493004,2010,0.659,2.099,#N/A N/A,#N/A N/A
AT0000A18XM4,2010,17.843,9.088,1.43,209.419
US0323325045,2010,1.856,3.027,10.272,120.019
TW0006291008,2010,0.626,0.289,0.082,500.285
TW0006533003,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0006138001,2010,0.004,1.077,0.588,3599.168
JP3105280006,2010,4.934,15.112,1.205,21725.615
TW0006531007,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0008271008,2010,0.051,1.924,2.177,13315.479
TW0006449002,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0003264008,2010,0.31,35.257,13.824,5084.191
NO0010946593,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
US04302A1043,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0003711008,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0003169009,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
NL0000334118,2010,0.585,20.198,138.902,1222.9
TW0005269005,2010,0.006,0.774,0.105,642.468
NL0010273215,2010,20.128,155.556,512.031,4507.938
KYG0535Q1331,2010,3.298,135.805,104.827,9515.089
TW0005274005,2010,0.014,0.184,0.047,284.601
US04965B1008,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
KR7017900002,2010,7.604,19.725,1.506,338158.15
US0545402085,2010,3.788,5.985,23.555,275.212
JP3108080007,2010,3.755,1.603,0.86,15495
US00246W1036,2010,2.121,2.13,8.173,95.493
NL0012866412,2010,0.217,9.453,39.885,351.149
TW0003031001,2010,3.282,4.906,0.848,5187.498
CNE100001XM0,2010,1.254,1.008,0.129,169.5896581
DE000A1TNMM9,2010,8.867,5.882,70.896,624.169
US1572101053,2010,0.723,0.693,0.231,44.911
TW0003257002,2010,0.439,0.298,0.089,544.186
TW0008070004,2010,5.932,4.597,2.54,15537.892
TW0006548001,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0001597003,2010,3.005,1.189,0.122,743.561
CNE100003S06,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0008084005,2010,0.991,0.687,0.262,1604.238
TW0006147002,2010,1.348,81.239,34.248,12595.706
TW0008150004,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
US1727551004,2010,0.365,6.258,1.137,220.989
GB0001602944,2010,0.13,0.462,0.148,18.023139
US19247G1076,2010,31.174,168.06,1.776,345.091
US1925761066,2010,1.143,8.751,27.617,322.667
KYG234201138,2010,0.084,1.567,12.916,1021.371
TW0002466000,2010,28.561,1.782,16.344,2384.784
MYL7204OO000,2010,0.034,9.238,4.857,182.507
JP3487600003,2010,5.031,4.285,38.258,39143.117
CNE000000X87,2010,7.343,5.814,3.047,4007.328509
TW0003094009,2010,0.024,0.556,0.09,548.408
KR7000990002,2010,122.775,159.049,45.927,620043.0343
US2545431015,2010,17.406,25.05,3.154,612.886
JP3548600000,2010,3.327,36.406,56.953,61730
CNE100001RT7,2010,0.218,6.357,0.454,596.5598193
TW0003048005,2010,12.195,15.171,100.642,37014.466
TW0002458007,2010,0.138,2.88,1.028,6290.004
TW0003450003,2010,0.11,14.371,#N/A N/A,#N/A N/A
TW0003006003,2010,0.14,2.721,1.149,7025.831
DE0005677108,2010,3.536,3.195,1.262,184.723
TW0003529004,2010,0.039,2.164,0.138,843.167
TW0003714002,2010,13.513,123.819,3.415,20888.092
US29362U1043,2010,24.647,94.01,58.92,688.416
KR7039030002,2010,0.222,2.378,14.973,202151.555
TW0003016002,2010,0.703,2.236,2.48,912.186
TW0005351001,2010,0.09,3.539,1.37,8382.076
KR7084370006,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0002393006,2010,1.156,66.393,2.856,17470.764
TW0006288004,2010,2.349,2.697,0.21,1282.656
TW0003035002,2010,0.068,3.403,1.082,6617.077
TW0004961008,2010,1.267,0.536,0.421,2576.828
TW0003545000,2010,0.004,1.673,0.911,5572.256
US3463751087,2010,5.503,9.781,16.138,188.565
TW0008131004,2010,1.145,94.734,32.138,11819.772
TW0003532008,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0003413001,2010,0.149,47.65,0.629,3848.7
CNE100004PM0,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
KYG3790U1040,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0004952007,2010,0.051,0.833,0.597,3652.679
CNE1000030S9,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0008081001,2010,0.063,1.12,0.82,5013.369
TW0003443008,2010,0.175,4.484,27.928,10271.392
TW0006488000,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
KYG393871085,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0003188009,2010,0.696,0.247,0.088,535.847
TW0002441003,2010,1.168,85.784,27.752,10206.938
CNE000000YF5,2010,2.841,12.923,8.416,665.4810721
US36241U1060,2010,1.43,0.969,0.348,67.558
JP3771800004,2010,12.991,46.715,5.23,90958
CNE100002Q09,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CNE100004314,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CNE000001DN1,2010,7.212,12.884,1.147,1508.06241
KR7042700005,2010,3.576,15.298,16.44,221944.5307
TW0006168008,2010,1.396,10.459,0.613,3749.297
DE000HAG0005,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0006202005,2010,0.043,1.301,0.662,4047.743
CNE100002V10,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
HK0000218211,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0002486008,2010,3.618,27.122,16.355,6015.245
TW0008040007,2010,0.023,0.866,0.333,2036.101
US4532041096,2010,0.053,0.406,0.164,31.797
MYQ0166OO007,2010,0.125,23.709,3.919,154.8
CH0011029946,2010,0.54,1.519,22.716,265.408
DE0006231004,2010,152.259,520.553,23.006,3295
CNE100001377,2010,1.034,0.894,0.155,204.0196642
US45817G2012,2010,0.455,0.447,0.063,12.291551
JP3152720003,2010,0.203,0.267,0.468,503.291
US4611471008,2010,2.021,3.363,3.954,46.204
US44980X1090,2010,13.673,33.099,1.54,299.256
GB0009619924,2010,4.266,18.246,9.612,72.65
TW0003014007,2010,0.467,1.687,0.678,4145.303
JP3735300000,2010,1.534,5.098,8.238,8929
JP3389680004,2010,0.139,0.922,6.137,6651.285
CNE000001F05,2010,25.022,724.625,2.746,3611.244739
CNE000000N97,2010,5.34,6.832,0.691,908.1462589
TW0005285001,2010,0.052,4.239,5.788,2128.918
CNE0000017L3,2010,358.377,14.603,0.868,1141.555047
TW0006552003,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0002375003,2010,1.878,6.717,0.405,2475.068
JP3281610000,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0002449006,2010,2.035,180.236,48.043,17669.549
US5012421013,2010,0.555,14.908,65.285,762.784
JP3979200007,2010,0.022,2.538,8.354,8931.343
TW0003346003,2010,0.017,0.76,0.133,814.47
US5184151042,2010,0.375,2.149,1.532,297.768
TW0003588000,2010,0.86,0.499,0.203,1242.042
KR7058470006,2010,1.068,4.251,4.187,56533.5762
TW0002472008,2010,0.441,34.425,0.886,5416.559
TW0002369006,2010,1.798,63.33,18.776,6905.714
TW0004979000,2010,0.025,3.418,0.175,1070.951
US55405Y1001,2010,12.308,10.436,1.34,260.297
TW0002337003,2010,129,187,4.584,28036.035
US55933J2033,2010,15.117,19.312,3.965,770.405
MYL3867OO008,2010,0.005,0.248,2.11,1386.202
US5738741041,2010,12.306,36.262,10.461,2807.687
US57776J1007,2010,1.349,1.054,0.354,68.701
CNE100003QK4,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0003527008,2010,0.054,1.026,0.313,1916.149
TW0002454006,2010,0.436,22.963,18.559,113521.958
JP3920860008,2010,5.737,3.012,2.136,38495.895
BE0165385973,2010,0.6,12.413,1.499,219.426785
JP3750400008,2010,4.194,17.283,23.632,24715
JP3910570005,2010,1.927,8.085,8.909,9738.061
TW0002464005,2010,156.69,309.191,1.022,6248.89
US55306N1046,2010,2.32,27.872,73.016,853.114
CNE100001X19,2010,3.521,5.594,0.616,810.7202981
CNE100003MN7,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0002434008,2010,0.327,6.907,0.137,838.193
DE0006627201,2010,5.632,6.267,23.54,207.247
SE0000375115,2010,1.02,2.368,15.336,1287.782
US63010N1054,2010,0.263,0.307,0.041,8.043795
TW0002408002,2010,44.834,220.375,9.337,57109.418
CNE1000040F5,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CNE100000ML7,2010,4.28,16.647,10.198,806.4402698
US64118P1093,2010,0.803,0.594,0.195,37.855
TW0003317004,2010,1.758,1.435,0.56,3422.772
JP3686200001,2010,2.89,8.121,1.473,26556
JP3725200004,2010,4.553,12.714,0.984,16738
JP3701200002,2010,56.511,558.682,5.875,105896
NO0003055501,2010,0.007,0.962,0.73,141.76
IL0010845571,2010,19.202,2.928,7.414,86.62
TW0003034005,2010,0.434,9.063,5.937,36315.556
TW0004919006,2010,25.557,41.028,1.298,7941.154
US6294452064,2010,0.932,0.765,0.145,28.147185
JP3193600008,2010,3.001,6.413,0.657,11839.948
US6833441057,2010,3.577,3.08,16.096,188.065
TW0002329000,2010,0.927,82.386,1.837,11238.324
JP3200400004,2010,3.956,14.588,23.265,25215.94
DE000LED4000,2010,33.848,252.371,32.675,4679.7
US68989M2026,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0002481009,2010,1.287,21.945,3.231,19764.53
US7013543001,2010,0.001,0.002,0,0.063735
US71360T2006,2010,0.308,0.236,0.08,15.563
TW0008299009,2010,0.498,2.679,5.198,31796.255
US7194051022,2010,18.967,31.776,2.19,425.554
CNE100005998,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
US72581M3051,2010,1.272,1.68,0.358,69.529
US7392761034,2010,5.921,7.594,1.543,299.803
TW0006770001,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0006239007,2010,1.775,205.686,102.859,37829.982
TW0006173008,2010,1.368,25.735,0.532,3253.796
DE0007461006,2010,0.438,2.732,13.672,120.366
US74837P4054,2010,0.522,0.732,0.135,26.199
US7509171069,2010,1.398,1.725,1.664,323.39
TW0002379005,2010,0.569,18.344,3.643,22282.897
TW0002302007,2010,1.271,4.42,0.189,1158.654
JP3164720009,2010,230.337,836.112,26.131,471034
US7631651079,2010,2.143,3.366,11.586,135.372
TW0004968003,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0008104001,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
ES0105225009,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CNE100003RK2,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
JP3982800009,2010,136.804,525.526,18.62,335640
JP3982200002,2010,0.858,2.312,3.31,3610.53
JP3976200000,2010,0.66,1.157,9.352,168586
JP3975410006,2010,0.151,2.131,10.783,#N/A N/A
JP3322950001,2010,1.002,3.525,4.027,4277.81
CNE000000KB3,2010,14.585,15.333,0.652,857.4288891
JP3329600005,2010,47.562,91.652,7.441,134134
DE0005156236,2010,3.256,3.78,11.971,105.394951
TW0003583001,2010,0.591,7.688,6.187,2275.507
JP3494600004,2010,8.155,24.727,151.428,164128
TW0002351004,2010,0.97,26.31,27.415,10082.781
JP3418400002,2010,4.647,3.56,1.219,21979.567
US8168501018,2010,0.784,9.236,1.475,286.56
CH0406705126,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
KR7046890000,2010,11.235,16.609,3.738,839329.138
US8173232070,2010,1.269,0.694,0.353,68.544
CNE100002NT4,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CNE000000XB6,2010,3.869,4.347,0.447,587.317196
CNE100000510,2010,0.15,6.297,0.372,489.083
CNE100002G84,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CNE100000Q50,2010,6.741,3.848,2.294,3017.306512
JP3355000005,2010,0.683,5.688,37.915,41095
JP3371600002,2010,3.526,67.365,64.751,70181
JP3375800004,2010,30.178,92.036,3.711,129836
KYG811801045,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0006257009,2010,0.179,55.59,13.227,4864.737
TW0002363009,2010,1.928,7.202,0.432,2641.161
US8269191024,2010,0.13,3.327,2.539,493.341
US82706C1080,2010,2.275,2.013,0.738,143.351
TW0003530002,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0003288007,2010,0.598,0.317,0.12,734.418
DE000WAF3001,2010,#N/A N/A,#N/A N/A,#N/A N/A,910.1
TW0005483002,2010,14.932,478.781,61.255,22528.702
US82982T1060,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0008016007,2010,0.138,2.479,0.873,5337.902
KR7000660001,2010,1495.84,2089.39,53.917,12106090
JP3162640001,2010,5.423,18.535,1.159,20155.885
US83089J1088,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
KYG8232Y1017,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
KYG8020E1199,2010,203.799,640.182,131.159,1532.448539
DE0005178008,2010,1.026,0.511,0.216,31.673831
FR0013227113,2010,3.464,2.691,25.306,209.123
TW0005471007,2010,0.005,0.85,0.712,4353.34
TW0003055000,2010,0.004,2.831,13.054,4801.192
CNE100003RN6,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
NL0000226223,2010,485,907,126,13725.11875
DE000A1K0235,2010,1.142,2.665,15.798,139.085
JP3322930003,2010,32.023,503.229,199.642,218217
TW0002401007,2010,5.235,5.278,2.087,12765.14
CNE000001P60,2010,4.1,5.371,0.622,818.6146546
US87157D1090,2010,0.042,3.774,2.65,514.89
TW0001582005,2010,0.07,0.302,1.088,6657.501
TW0002338001,2010,0.149,11.354,6.992,2571.522
TW0006278005,2010,0.439,14.451,6.632,40564.809
TW0002340007,2010,2.116,37.068,1.311,8019.242
JP3468000009,2010,1.926,6.026,10.576,10821.071
TW0004967005,2010,0.041,1.275,1.08,6605.595
IT0005482333,2010,#N/A N/A,#N/A N/A,#N/A N/A,21.133598
TW0003030003,2010,2.153,13.242,10.214,3756.431
CNE100000825,2010,5.118,27.956,14.648,1158.310067
KR7064760002,2010,0.971,6.403,3.785,51097.44705
JP3571400005,2010,9.066,81.599,386.243,418636
JP3571800006,2010,8.68,18.252,65.1,70560
JP3580200008,2010,5.034,26.077,28.358,30735.788
TW0006271000,2010,0.919,47.158,16.658,6126.555
CNE1000006C3,2010,8.579,59.771,21.839,1726.95783
TW0008021007,2010,0.149,9.553,5.831,2144.658
JP3637280003,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
JP3555700008,2010,2.281,9.119,13.17,14274.643
IL0010823792,2010,372.922,119.81,43.587,509.262
TW0002451002,2010,0.065,4.498,5.262,32185.624
TW0002330008,2010,1351.29,2338.13,1140.716,419537.911
TW0002426004,2010,7.803,16.07,0.928,5679.148
CH0033361673,2010,0.22,0.782,0.558,112.781
US90385V1070,2010,5.628,7.475,37.927,443.134
JP3126190002,2010,6.421,77.78,207.455,221804
TW0002303005,2010,783.17,1120.64,0.6,126441.544
TW0008277005,2010,5.54,5.301,1.557,9521.914
CNE000001M14,2010,2.165,2.417,0.264,347.2443419
KR7077500007,2010,5.381,5.713,2.005,450148.7012
MYL5005OO003,2010,1.536,133.716,37.125,1395.078
US91347P1057,2010,0.252,3.601,0.157,30.54438
JP3829900004,2010,2.311,2.189,16.447,17826
TW0005347009,2010,171.857,322.917,43.596,16033.86
US9224171002,2010,1.995,7.58,79.673,930.892
CNE100004413,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0002388006,2010,0.007,1.545,0.937,5732.194
TW0006789001,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
US9282981086,2010,151.813,177.71,14.024,2725.092
US92835K1034,2010,3.975,3.366,1.068,207.524
TW0002455003,2010,0.44,9.743,4.821,1772.934
TW0006182009,2010,11.991,114.021,40.23,14795.957
TW0008110008,2010,0.385,100.528,24.486,9005.472
TW0002436003,2010,1.278,1.02,0.372,2275.838
CNE100002XM8,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0003105003,2010,28.313,60.912,18.983,6981.651
TW0002344009,2010,50.501,179.769,6.529,39934.358
JP3154370005,2010,0.272,0.1,0.04,715.524
US9778521024,2010,176.486,173.991,4.463,867.287
KR7030530000,2010,4.493,32.297,18.29,246922.4067
KR7240810002,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
BE0974310428,2010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
JP3990600003,2010,1.421,4.935,8.437,9144.855
CNE100001R90,2010,5.128,62.273,0.271,356.1748023
CNE100001DJ8,2010,1.314,2.998,4.764,376.7077498
US0079031078,2011,45.014,146.623,432.385,6568
US0326541051,2011,38.151,95.712,6.373,2993.32
US0382221051,2011,44.541,135.976,36.863,10517
US11135F1012,2011,114.511,156.427,12.022,2336
US29355A1079,2011,0.01,8.525,34.547,149.523
US3364331070,2011,6.927,388.531,18.027,2766.207
US4581401001,2011,1000,2200,201.7,53999
US4824801009,2011,4.122,52.387,271.756,3175.167
US5128071082,2011,18.577,42.789,277.107,3237.693
US5950171042,2011,97.349,143.758,7.653,1487.205
US5951121038,2011,1347.876,1419.528,45.225,8788
US6098391054,2011,0.058,4.962,1.011,196.519
US67066G1040,2011,2.198,43.871,18.235,3543.309
NL0009538784,2011,561.89,469.493,36.49,4194
