Isin,Year,SR001,SR002,SR003,SR004
US0079031078,2018,6.070000172,6.841240406,4.237225056,7.072086811
US0326541051,2018,4.53000021,4.951658726,2.288488626,6.702093601
US0382221051,2018,6.900000095,6.190028667,6.683382988,8.140346527
US11135F1012,2018,2.029999971,0,1.427484035,7.473958492
US29355A1079,2018,3.069999933,0.130537882,6.115842342,5.971273899
US3364331070,2018,5.900000095,4.897620678,6.523358345,6.698586464
US4581401001,2018,6.090000153,5.954993725,4.588829041,7.96273613
US4824801009,2018,2.269999981,0.74273932,1.286757827,6.579876423
US5128071082,2018,5.170000076,5.792745113,2.418520212,7.722697735
US5950171042,2018,4.199999809,3.854081869,2.959922552,6.143634796
US5951121038,2018,4.610000134,3.991905212,3.341876268,7.022703171
US6098391054,2018,2.75999999,1.436116338,2.149788141,5.793034554
US67066G1040,2018,6.340000153,6.112621307,6.197593689,6.78883791
NL0009538784,2018,5.28000021,3.726347923,7.056555271,5.836448669
US6821891057,2018,4.559999943,3.02402091,3.978316545,7.729589939
US74736K1016,2018,2.25999999,0,2.528281927,6.880284786
US7475251036,2018,4.449999809,4.960540771,2.331400871,6.287592411
US83088M1027,2018,3.49000001,2.993724108,1.286757827,7.326281548
US8807701029,2018,4.309999943,3.533877611,2.648808479,7.60150528
US8825081040,2018,4.550000191,4.866671085,2.395166159,6.72633028
CNE100004ZD8,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
US00108J1097,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0003438008,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CNE100003MM9,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0003437000,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0008261009,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
JP3122400009,2018,4.840000153,6.188667297,2.589394331,5.683273792
DE000A0WMPJ6,2018,4.46999979,4.189671516,3.078452826,6.52155447
KYG022421088,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0003041000,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CNE100001ZN3,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
US01749D1054,2018,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
BMG6331P1041,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
GB00BNDRMJ14,2018,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
KYG037AX1015,2018,1.279999971,0,0.127523139,5.944007397
US0316521006,2018,1.659999967,0.558260918,0.127523139,6.362633228
CNE100003LZ3,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0002493004,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
AT0000A18XM4,2018,2.390000105,1.852528214,1.286757827,4.639704227
US0323325045,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0006291008,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0006533003,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0006138001,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
JP3105280006,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0006531007,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0008271008,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0006449002,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0003264008,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
NO0010946593,2018,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
US04302A1043,2018,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
TW0003711008,2018,4.309999943,4.362692356,4.328523159,4.229765892
TW0003169009,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
NL0000334118,2018,4.829999924,4.915108681,2.901241302,7.024358273
